Tangra v3.6.0.17
Measurments of 1 objects
C:\Users\joelhcch\Documents\2022A\Clases\LAB_Avanzado_UABC\ReducirDatos\Fotos 2019-06-19 Pruebas Finales\Prueba1 1.6mm2.18m
Asteroidal Video (FITS.16::SEQ), Time: Timestamp Saving During Recording


Reversed Gamma, Colour, Measured Band, Integration, Digital Filter, Signal Method, Background Method, Instrumental Delay Corrections, Camera, AAV Integration, First Frame, Last Frame, Reversed Camera Response, Video File Format
1.00,no,Red,no,NoFilter,AperturePhotometry,AverageBackground,Not Required,,,1,953,,FITS

Object, Type, Aperture, Tolerance, FWHM, Measured, StartingX, StartingY, Fixed
1,OccultedStar,15.00,2.00,NaN,yes,41.0,32.0,no


FrameNo,Time (JD),SignalMinusBackground (1)
431,2458654.30174042,641670
432,2458654.30174129,791520
433,2458654.30174159,934320
434,2458654.30174219,1103300
435,2458654.30174279,1277100
436,2458654.30174337,1486400
437,2458654.30174434,1812100
438,2458654.30174457,2027400
439,2458654.30174515,2249700
440,2458654.30174575,2550400
441,2458654.30174634,2772200
442,2458654.30174723,2982500
443,2458654.30174754,3143500
444,2458654.30174812,3311000
445,2458654.30174873,3424800
446,2458654.30174932,3499200
447,2458654.30175028,3497900
448,2458654.30175051,3507700
449,2458654.3017511,3464500
450,2458654.3017517,3392400
451,2458654.30175301,3186900
452,2458654.30175302,3074600
453,2458654.30175348,2851400
454,2458654.30175408,2652600
455,2458654.30175468,2357100
456,2458654.30175585,2071400
457,2458654.30175586,1972500
458,2458654.30175646,1726500
459,2458654.30175706,1467300
460,2458654.30175764,1250700
461,2458654.30175826,1042000
462,2458654.30175911,847940
463,2458654.30175943,709500
464,2458654.30176002,572960
465,2458654.30176061,511710
466,2458654.3017618,450770
467,2458654.30176181,423150
468,2458654.3017624,390820
469,2458654.30176299,389480
470,2458654.30176359,409830
471,2458654.30176471,441420
472,2458654.30176478,559300
473,2458654.30176537,635900
474,2458654.30176596,713950
475,2458654.30176656,755400
476,2458654.3017676,804690
477,2458654.30176774,858300
478,2458654.30176836,883740
479,2458654.30176895,905200
480,2458654.30176954,921550
481,2458654.30177065,912940
482,2458654.30177072,904110
483,2458654.30177131,870690
484,2458654.30177192,857060
485,2458654.30177251,828940
486,2458654.30177355,817810
487,2458654.3017737,788700
488,2458654.30177433,785950
489,2458654.30177489,775620
490,2458654.30177547,785580
491,2458654.30177652,816150
492,2458654.30177668,854990
493,2458654.30177726,902730
494,2458654.30177785,994190
495,2458654.30177846,1088600
496,2458654.30177941,1210700
497,2458654.30177965,1358300
498,2458654.30178023,1508400
499,2458654.30178083,1622900
500,2458654.30178143,1844500
501,2458654.30178238,1910200
502,2458654.30178261,2021500
503,2458654.3017832,2137900
504,2458654.3017838,2250100
505,2458654.30178442,2295300
506,2458654.30178534,2392600
507,2458654.30178559,2467200
508,2458654.30178617,2502800
509,2458654.30178677,2561300
510,2458654.30178736,2631400
511,2458654.30178825,2735000
512,2458654.30178855,2843800
513,2458654.30178915,2947300
514,2458654.30178976,2994200
515,2458654.30179035,3166500
516,2458654.30179121,3302600
517,2458654.30179155,3370500
518,2458654.30179212,3567300
519,2458654.30179272,3809300
520,2458654.30179332,3942000
521,2458654.30179419,4149300
522,2458654.30179449,4351500
523,2458654.30179509,4551400
524,2458654.30179569,4839100
525,2458654.30179628,5040900
526,2458654.30179715,5229700
527,2458654.30179747,5468000
528,2458654.30179808,5818000
529,2458654.30179867,6020300
530,2458654.30179927,6184400
531,2458654.30180008,6357100
532,2458654.30180045,6566700
533,2458654.30180105,6726500
534,2458654.30180164,6843900
535,2458654.30180222,7012600
536,2458654.30180292,7067500
537,2458654.30180341,7205600
538,2458654.30180401,7306000
539,2458654.3018046,7400000
540,2458654.30180526,7489200
541,2458654.30180623,7692700
542,2458654.3018064,7718900
543,2458654.30180699,7909700
544,2458654.3018076,7991300
545,2458654.30180849,7986300
546,2458654.30180951,8112000
547,2458654.30180952,8140700
548,2458654.30180995,8129700
549,2458654.30181056,8124100
550,2458654.30181114,8126700
551,2458654.30181209,8035600
552,2458654.30181235,7913900
553,2458654.30181292,7829100
554,2458654.30181352,7662200
555,2458654.30181412,7481400
556,2458654.30181507,7239800
557,2458654.30181531,7011400
558,2458654.30181591,6872900
559,2458654.30181649,6632500
560,2458654.30181708,6493100
561,2458654.30181813,6294700
562,2458654.30181831,6175200
563,2458654.30181888,6115800
564,2458654.30181948,6029000
565,2458654.30182005,5947300
566,2458654.30182102,5897700
567,2458654.30182125,5917600
568,2458654.30182185,5924900
569,2458654.30182245,5985200
570,2458654.30182303,5932100
571,2458654.30182391,5914100
572,2458654.30182423,5975500
573,2458654.30182482,5973900
574,2458654.3018254,5926300
575,2458654.301826,5918900
576,2458654.30182688,5881400
577,2458654.30182718,5887000
578,2458654.30182778,5945000
579,2458654.30182837,5925700
580,2458654.30182899,6006100
581,2458654.30182994,6054500
582,2458654.30183017,6050900
583,2458654.30183076,6111400
584,2458654.30183136,6247800
585,2458654.30183195,6309700
586,2458654.30183282,6312000
587,2458654.30183313,6377500
588,2458654.30183372,6410700
589,2458654.30183432,6393400
590,2458654.30183493,6443000
591,2458654.30183579,6489400
592,2458654.30183612,6493300
593,2458654.3018367,6565200
594,2458654.3018373,6533700
595,2458654.3018386,6511300
596,2458654.3018386,6518600
597,2458654.30183909,6498900
598,2458654.30183967,6467900
599,2458654.30184027,6378700
600,2458654.30184156,6280800
601,2458654.30184156,6117000
602,2458654.30184205,5997900
603,2458654.30184266,5819400
604,2458654.30184324,5640500
605,2458654.30184428,5509300
606,2458654.30184444,5475700
607,2458654.30184502,5398000
608,2458654.30184563,5404700
609,2458654.30184621,5431000
610,2458654.30184739,5459200
611,2458654.3018474,5558100
612,2458654.301848,5620000
613,2458654.30184858,5792200
